entry	ensembl	entry_name	reviewed	protein_names	gene_names	length	organism	organism_id	pfam	supfam
Q9VPT1		GR21A_DROME	reviewed	Gustatory and odorant receptor 21a	Gr21a GR21D.1 CG13948	454	Drosophila melanogaster (Fruit fly)	7227	PF08395;	
Q9VPT4		SAF6_DROME	reviewed	SAGA factor-like TAF6	Saf6 CG3883	717	Drosophila melanogaster (Fruit fly)	7227		
Q9VPT8		CPSF4_DROME	reviewed	Cleavage and polyadenylation specificity factor subunit 4 (EC 3.1.-.-) (Cleavage and polyadenylation specificity factor 30 kDa subunit) (Protein clipper)	Clp CPSF30 Ssb-c6a CG3642	296	Drosophila melanogaster (Fruit fly)	7227	PF00098;PF18345;	SSF90229;SSF57756;
Q9VPU8		KRR1_DROME	reviewed	KRR1 small subunit processome component homolog (KRR-R motif-containing protein 1) (Protein dribble)	dbe dribble CG4258	345	Drosophila melanogaster (Fruit fly)	7227	PF17903;PF21800;	SSF54791;
Q9VQ30		CHNMO_DROME	reviewed	Zinc finger protein chinmo (Protein chronologically inappropriate morphogenesis)	chinmo CG31666	604	Drosophila melanogaster (Fruit fly)	7227	PF00651;PF00096;	SSF57667;SSF54695;
Q9VQ56		ERM_DROME	reviewed	Fez family zinc finger protein erm (Earmuff)	erm dFezf dfezl CG31670	611	Drosophila melanogaster (Fruit fly)	7227	PF00096;PF13912;	SSF57667;
Q9VQ62		NPC2_DROME	reviewed	NPC intracellular cholesterol transporter 2 homolog a (Niemann Pick type C2 protein homolog)	Npc2a NPC2 CG7291	148	Drosophila melanogaster (Fruit fly)	7227	PF02221;	SSF81296;
Q9VQ79		AIFM1_DROME	reviewed	Putative apoptosis-inducing factor 1, mitochondrial (DmAIF) (EC 1.6.99.-)	AIF CG7263	739	Drosophila melanogaster (Fruit fly)	7227	PF14721;PF07992;	SSF51905;SSF55424;
Q9VQ89		MIO_DROME	reviewed	GATOR2 complex protein Mio (Protein missing oocyte)	mio CG7074	867	Drosophila melanogaster (Fruit fly)	7227	PF21719;PF21720;PF17034;	SSF50978;
Q9VQ91		TDRKH_DROME	reviewed	Tudor and KH domain-containing protein homolog (Partner of PIWIs protein)	papi Tdrd2 CG7082	576	Drosophila melanogaster (Fruit fly)	7227	PF00013;PF00567;	SSF54791;SSF63748;
Q9VQ93		GOLP3_DROME	reviewed	Golgi phosphoprotein 3 homolog sauron (Protein rotini)	sau GOLPH3 l(2)s5379 rti CG7085	294	Drosophila melanogaster (Fruit fly)	7227	PF05719;	
Q9VQB6		ATX7_DROME	reviewed	Ataxin-7	Atxn7 CG9866	971	Drosophila melanogaster (Fruit fly)	7227		
Q9VQD6		ELBA2_DROME	reviewed	Early boundary activity protein 2	Elba2 CG9883	381	Drosophila melanogaster (Fruit fly)	7227	PF10523;	
Q9VQF9		SNAPN_DROME	reviewed	SNAPIN protein homolog (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7)	Snapin CG9958	134	Drosophila melanogaster (Fruit fly)	7227	PF14712;	
Q9VQG2		APH1_DROME	reviewed	Gamma-secretase subunit Aph-1 (Presenilin-stabilization factor)	aph-1 PSF CG2855	238	Drosophila melanogaster (Fruit fly)	7227	PF06105;	
Q9VQG9		INHBA_DROME	reviewed	Protein dawdle (Activin-like protein)	daw Alp Alp23B CG16987	586	Drosophila melanogaster (Fruit fly)	7227	PF06994;PF00019;PF00688;	SSF57501;
Q9VQH2		DUOX_DROME	reviewed	Dual oxidase (EC 1.11.1.-) (EC 1.6.3.1)	Duox CG3131	1537	Drosophila melanogaster (Fruit fly)	7227	PF03098;PF00036;PF13499;PF08022;PF01794;PF08030;	SSF47473;SSF52343;SSF48113;SSF63380;
Q9VQI9		AFFL_DROME	reviewed	AF4/FMR2 family member lilli (Protein lilliputian) (Suppressor of Raf at 2A) (Suppressor of sina 2-1)	lilli l(2)00632 SS2-1 Su(Raf)2A CG8817	1673	Drosophila melanogaster (Fruit fly)	7227	PF18876;	
Q9VQK4		A4GT1_DROME	reviewed	Alpha1,4-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.-) (Alpha1,4-galactosyltransferase 1) (UDP-GalNAc:betaGalNAc alpha1-4GalNAc-transferase)	alpha4GT1 CG17223	369	Drosophila melanogaster (Fruit fly)	7227	PF04572;PF04488;	SSF53448;
Q9VQK9		ZDH23_DROME	reviewed	Protein beta4GalNAcTB pilot (GalNAcTB pilot) (Palmitoyltransferase) (EC 2.3.1.225)	GABPI CG17257	420	Drosophila melanogaster (Fruit fly)	7227	PF01529;	
Q9VQM4		TYDP1_DROME	reviewed	Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase) (EC 3.1.4.-) (Protein glaikit)	Tdp1 gkt CG8825 CG8826	580	Drosophila melanogaster (Fruit fly)	7227	PF06087;PF10283;	SSF56024;
Q9VQN8		FIGL1_DROME	reviewed	Fidgetin-like protein 1 (EC 3.6.4.-)	Fign CG3326	523	Drosophila melanogaster (Fruit fly)	7227	PF00004;PF17862;PF09336;	SSF52540;
Q9VQQ0		PTPA_DROME	reviewed	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (Phosphotyrosyl phosphatase activator) (PTPA)	Ptpa DPTPA CG3289	398	Drosophila melanogaster (Fruit fly)	7227	PF03095;	SSF140984;
Q9VQQ9		EXOC2_DROME	reviewed	Exocyst complex component 2 (Exocyst complex component Sec5)	Sec5 CG8843	894	Drosophila melanogaster (Fruit fly)	7227	PF15469;PF01833;	SSF81296;
Q9VQS6		DRM_DROME	reviewed	Protein drumstick	drm CG10016	81	Drosophila melanogaster (Fruit fly)	7227	PF00096;	SSF57667;
Q9VQU9		BOWEL_DROME	reviewed	Protein bowel (Brother of odd with entrails limited)	bowl CG10021	744	Drosophila melanogaster (Fruit fly)	7227	PF00096;	SSF57667;
Q9VQZ6		ELP3_DROME	reviewed	Elongator complex protein 3 (EC 2.3.1.311) (EC 2.3.1.48) (tRNA uridine(34) acetyltransferase)	Elp3 CG15433	552	Drosophila melanogaster (Fruit fly)	7227	PF23613;PF04055;PF16199;	SSF55729;SSF102114;
Q9VR05		PARIS_DROME	reviewed	Zinc finger protein Paris (Parkin-interacting substrate)	Paris CG15436	346	Drosophila melanogaster (Fruit fly)	7227	PF07776;PF00096;	SSF57667;SSF57716;
Q9VR07		INE_DROME	reviewed	Sodium- and chloride-dependent GABA transporter ine (Protein inebriated) (Protein receptor oscillation A)	ine rosA CG15444	943	Drosophila melanogaster (Fruit fly)	7227	PF00209;	SSF161070;
Q9VR17		ELBA1_DROME	reviewed	Early boundary activity protein 1 (Blastoderm-specific gene 25A)	Elba1 Bsg25A CG12205	363	Drosophila melanogaster (Fruit fly)	7227	PF10523;	
Q9VR35		MXT_DROME	reviewed	Eukaryotic translation initiation factor 4E-binding protein Mextli	mxt CG2950	653	Drosophila melanogaster (Fruit fly)	7227	PF00013;	SSF54791;
Q9VR38		MON1_DROME	reviewed	Vacuolar fusion protein MON1 homolog (Dmon1)	Mon1 CG11926	528	Drosophila melanogaster (Fruit fly)	7227	PF19036;PF19037;PF19038;	
Q9VR52		TILB_DROME	reviewed	Protein tilB (Touch insensitive larva B protein)	tilB CG14620	395	Drosophila melanogaster (Fruit fly)	7227	PF23602;PF14580;	SSF52058;
Q9VR56		TM10A_DROME	reviewed	tRNA (guanine(9)-N(1))-methyltransferase Trmt10A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2 homolog) (tRNA methyltransferase 10A) (dTrmt10A)	Trmt10A CG14618	319	Drosophila melanogaster (Fruit fly)	7227		
Q9VR59		VIP1_DROME	reviewed	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24) (InsP6 and PP-IP5 kinase)	l(1)G0196 CG14616	1696	Drosophila melanogaster (Fruit fly)	7227	PF00328;PF18086;	SSF53254;
Q9VR99		CATIN_DROME	reviewed	Splicing factor Cactin (Cactus-interacting protein)	cactin CG1676	720	Drosophila melanogaster (Fruit fly)	7227	PF10312;PF09732;	
Q9VRC9		NPC1B_DROME	reviewed	NPC intracellular cholesterol transporter 1 homolog 1b (Niemann-Pick type protein homolog 1b)	Npc1b CG12092	1254	Drosophila melanogaster (Fruit fly)	7227	PF22314;PF16414;PF12349;	SSF82866;
Q9VRG7		CNEP1_DROME	reviewed	CTD nuclear envelope phosphatase 1 homolog (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard homolog)	Dd l(1)G0269 CG1696	243	Drosophila melanogaster (Fruit fly)	7227	PF03031;	SSF56784;
Q9VRJ0		GEN_DROME	reviewed	Flap endonuclease GEN (EC 3.1.-.-) (Flap structure-specific endonuclease GEN) (Xpg-like endonuclease) (DmGEN)	Gen CG10670	726	Drosophila melanogaster (Fruit fly)	7227	PF18704;PF00867;PF00752;	SSF47807;SSF88723;
Q9VRJ2		FITM2_DROME	reviewed	Acyl-coenzyme A diphosphatase FITM2 (EC 3.6.1.-) (Fat storage-inducing transmembrane protein) (Fat storage-inducing transmembrane protein 2) (Fat-inducing protein 2)	Fitm2 Fit2 Fitm CG10671	423	Drosophila melanogaster (Fruit fly)	7227	PF10261;	
Q9VRM7		CP307_DROME	reviewed	Cytochrome P450 307a1 (EC 1.14.-.-) (CYPCCCVIIA1) (Protein spook)	spo Cyp307a1 CG10594	543	Drosophila melanogaster (Fruit fly)	7227	PF00067;	SSF48264;
Q9VRN5		LIN28_DROME	reviewed	Protein lin-28 homolog	lin-28 CG17334	195	Drosophila melanogaster (Fruit fly)	7227	PF00313;	SSF50249;SSF57756;
Q9VRP5		UBP36_DROME	reviewed	Ubiquitin carboxyl-terminal hydrolase 36 (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Protein scrawny) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36)	scny Usp36 CG5505	1038	Drosophila melanogaster (Fruit fly)	7227	PF00443;	SSF54001;
Q9VRP9		BRE1_DROME	reviewed	E3 ubiquitin-protein ligase Bre1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Bre1) (dBre1)	Bre1 CG10542	1044	Drosophila melanogaster (Fruit fly)	7227	PF26052;PF26095;PF00097;	SSF57850;
Q9VRQ7		DPOE2_DROME	reviewed	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon 58kD subunit) (DNA polymerase epsilon subunit)	PolE2 DNApol-epsilon58 DNApolE2 CG10489	525	Drosophila melanogaster (Fruit fly)	7227	PF04042;PF12213;	
Q9VRQ9		QPCT1_DROME	reviewed	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase)	QC CG32412	340	Drosophila melanogaster (Fruit fly)	7227	PF04389;	SSF53187;
Q9VRR2		S53A1_DROME	reviewed	Solute carrier family 53 member 1 (Inorganic phosphate-sensitive XPR1 homolog) (Phosphate exporter PXo) (Xenotropic and polytropic retrovirus receptor 1)	PXo XPR1 CG10483	671	Drosophila melanogaster (Fruit fly)	7227	PF03124;PF03105;	
Q9VRX1		RMC1_DROME	reviewed	Regulator of MON1-CCZ1 complex (Protein Bulli)	Bulli CG8270	642	Drosophila melanogaster (Fruit fly)	7227	PF07035;PF21029;	SSF82171;
Q9VRX2		VPS8_DROME	reviewed	Vacuolar protein sorting-associated protein 8 homolog (Vacuolar protein sorting 8)	Vps8 CG10144	1229	Drosophila melanogaster (Fruit fly)	7227	PF23410;PF00637;PF12816;	SSF50998;SSF57850;
Q9VRX6		INX4_DROME	reviewed	Innexin inx4 (Innexin-4) (Protein zero population growth)	zpg inx4 CG10125	367	Drosophila melanogaster (Fruit fly)	7227	PF00876;	
Q9VS05		FOXF_DROME	reviewed	Forkhead box protein biniou (Forkhead box protein FoxF) (DmFoxF)	bin FoxF CG18647	676	Drosophila melanogaster (Fruit fly)	7227	PF00250;	SSF46785;
Q9VS24		MELT_DROME	reviewed	Protein melted	melt CG8624	994	Drosophila melanogaster (Fruit fly)	7227	PF00169;	SSF48371;SSF50729;
Q9VS29		DSCL_DROME	reviewed	Cell adhesion molecule Dscam2 (Down syndrome cell adhesion molecule-like protein Dscam2)	Dscam2 CG42256	2074	Drosophila melanogaster (Fruit fly)	7227	PF00041;PF25059;PF07679;PF13895;PF13927;	SSF49265;SSF48726;
Q9VS48		SLX4_DROME	reviewed	Structure-specific endonuclease subunit SLX4 (Mutagen-sensitive protein 312)	mus312 SLX4 CG8601	1145	Drosophila melanogaster (Fruit fly)	7227	PF09494;	
Q9VS59		AKIRN_DROME	reviewed	Akirin (Protein bhringi)	akirin bhr CG8580	201	Drosophila melanogaster (Fruit fly)	7227		
Q9VS60		SMSR1_DROME	reviewed	Ceramide phosphoethanolamine synthase (CPE synthase) (EC 2.7.8.-) (Sphingomyelin synthase-related 1) (SMSr)	SMSr CG32380	600	Drosophila melanogaster (Fruit fly)	7227	PF14360;	SSF47769;
Q9VS97		PGPSD_DROME	reviewed	Peptidoglycan-recognition protein SD	PGRP-SD CG7496	186	Drosophila melanogaster (Fruit fly)	7227	PF01510;	SSF55846;
Q9VSA3		ACADM_DROME	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)	Mcad CG12262	419	Drosophila melanogaster (Fruit fly)	7227	PF00441;PF02770;PF02771;	SSF47203;SSF56645;
Q9VSB9		TMM43_DROME	reviewed	Transmembrane protein 43 homolog	Tmem43 CG8111	376	Drosophila melanogaster (Fruit fly)	7227	PF07787;	
Q9VSE2		HELQ_DROME	reviewed	Helicase POLQ-like (EC 5.6.2.4) (Mutagen-sensitive protein 301) (Protein spindle-C) (Spindle-C)	mus301 spnC CG7972	1051	Drosophila melanogaster (Fruit fly)	7227	PF00270;PF00271;PF20470;PF21099;	SSF52540;SSF158702;
Q9VSF2		MED24_DROME	reviewed	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24) (dMED24) (dTRAP100)	MED24 Trap100 CG7999	993	Drosophila melanogaster (Fruit fly)	7227	PF11277;	
Q9VSF3		UBC2M_DROME	reviewed	Nedd8-conjugating enzyme UbcE2M (EC 2.3.2.34) (Nedd8 carrier protein)	UbcE2M Ubc12 CG7375	181	Drosophila melanogaster (Fruit fly)	7227	PF00179;	SSF54495;
Q9VSH2		GR66A_DROME	reviewed	Gustatory receptor for bitter taste 66a	Gr66a CG7189	527	Drosophila melanogaster (Fruit fly)	7227	PF08395;	
Q9VSH3		BI1_DROME	reviewed	Bax inhibitor 1	BI-1 CG7188	245	Drosophila melanogaster (Fruit fly)	7227	PF01027;	
Q9VSL3		SEPIA_DROME	reviewed	Pyrimidodiazepine synthase (EC 1.5.4.1) (Protein sepia)	se CG6781	243	Drosophila melanogaster (Fruit fly)	7227	PF13410;PF13417;	SSF47616;SSF52833;
Q9VSL7		FOI_DROME	reviewed	Zinc transporter foi (Protein fear-of-intimacy) (Protein kastchen)	foi CG6817	706	Drosophila melanogaster (Fruit fly)	7227	PF02535;	
Q9VSR3		ORB2_DROME	reviewed	Translational regulator orb2	orb2 CG43782	704	Drosophila melanogaster (Fruit fly)	7227	PF16366;PF16367;	SSF54928;
Q9VSS1		ABCE1_DROME	reviewed	Protein Pixie (ATP-binding cassette sub-family E member 1)	pix ABCE1 CG5651	611	Drosophila melanogaster (Fruit fly)	7227	PF00005;PF00037;PF04068;	SSF54862;SSF52540;
Q9VT00		JARD2_DROME	reviewed	Jumonji, AT rich interactive domain protein 2 (Protein jumonji) (dJmj)	Jarid2 Jmj CG3654	2351	Drosophila melanogaster (Fruit fly)	7227	PF01388;PF02373;PF02375;PF02928;	SSF46774;SSF51197;
Q9VT04		PATH_DROME	reviewed	Proton-coupled amino acid transporter-like protein pathetic	path CG3424	471	Drosophila melanogaster (Fruit fly)	7227	PF01490;	
Q9VT28		FRY_DROME	reviewed	Protein furry	fry CG32045	3479	Drosophila melanogaster (Fruit fly)	7227	PF19421;PF14225;PF14228;PF14222;	SSF48371;
Q9VT41		INT7_DROME	reviewed	Integrator complex subunit 7 (Protein deflated)	defl IntS7 CG18176	1001	Drosophila melanogaster (Fruit fly)	7227	PF22965;PF24437;PF24436;	SSF48371;
Q9VT51		INSL2_DROME	reviewed	Insulin-like peptide 2 (dILP2) (Insulin-related peptide 2) [Cleaved into: Insulin-like peptide 2 A chain; Insulin-like peptide 2 B chain]	Ilp2 IRP CG8167	137	Drosophila melanogaster (Fruit fly)	7227	PF00049;	SSF56994;
Q9VT52		INSL3_DROME	reviewed	Insulin-like peptide 3 (dILP3) (Insulin-related peptide 3) [Cleaved into: Insulin-like peptide 3 A chain; Insulin-like peptide 3 B chain]	Ilp3 CG14167	120	Drosophila melanogaster (Fruit fly)	7227	PF00049;	SSF56994;
Q9VT57		CDK8_DROME	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (DmCdk8) (Mediator complex subunit Cdk8) (Mediator of RNA polymerase II transcription subunit Cdk8)	Cdk8 CG10572	454	Drosophila melanogaster (Fruit fly)	7227	PF00069;	SSF56112;
Q9VT65		CANB_DROME	reviewed	Calpain-B (EC 3.4.22.-) (Calcium-activated neutral proteinase B) (CANP B) [Cleaved into: Calpain-B catalytic subunit 1; Calpain-B catalytic subunit 2]	CalpB CG8107	925	Drosophila melanogaster (Fruit fly)	7227	PF01067;PF00648;	SSF49758;SSF54001;SSF47473;
Q9VT70		NDE1_DROME	reviewed	Nuclear distribution protein nudE homolog	nudE CG8104	317	Drosophila melanogaster (Fruit fly)	7227	PF04880;	
Q9VT92		OR67D_DROME	reviewed	Odorant receptor 67d	Or67d CG14157	391	Drosophila melanogaster (Fruit fly)	7227	PF02949;	
Q9VTE2		SUUR_DROME	reviewed	Protein suppressor of underreplication	SuUR Su(UR)ES CG7869	962	Drosophila melanogaster (Fruit fly)	7227	PF00176;	SSF52540;
Q9VTG7		B3G2P_DROME	reviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase P) (Glucuronosyltransferase P) (GlcAT-P) (UDP-glucuronosyltransferase P) (DmGlcAT-BSII)	GlcAT-P GLCAT-BSII CG6207	479	Drosophila melanogaster (Fruit fly)	7227	PF03360;	SSF53448;
Q9VTH0		PLOD_DROME	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase (Procollagen lysyl hydroxylase) (EC 1.14.11.4)	Plod CG6199	721	Drosophila melanogaster (Fruit fly)	7227	PF03171;PF25342;	SSF53448;
Q9VTK2		POMT1_DROME	reviewed	Protein O-mannosyltransferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1) (dPOMT1) (Protein rotated abdomen)	rt POMT1 CG6097	886	Drosophila melanogaster (Fruit fly)	7227	PF02815;PF02366;PF16192;	SSF82109;
Q9VTL1		PCID2_DROME	reviewed	PCI domain-containing protein 2 homolog (CSN12-like protein)	PCID2 CG7351	395	Drosophila melanogaster (Fruit fly)	7227	PF01399;	
Q9VTM0		BL1S6_DROME	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 6 (BLOC-1 subunit 6) (Pallid protein homolog)	Pldn Pallidin CG14133	167	Drosophila melanogaster (Fruit fly)	7227	PF14712;	
Q9VTM6		CRIM_DROME	reviewed	UPAR/Ly6 domain-containing protein crim (Protein crimpled)	crim CG6038	158	Drosophila melanogaster (Fruit fly)	7227	PF17064;	
Q9VTN0		GR68A_DROME	reviewed	Gustatory receptor 68a	Gr68a GR68D.1 CG7303	389	Drosophila melanogaster (Fruit fly)	7227	PF08395;	
Q9VTT0		SEM5C_DROME	reviewed	Semaphorin 5c	Sema5c DSema 3a DSema 5C sema 5c Sema-3a Sema-5c CG5661	1093	Drosophila melanogaster (Fruit fly)	7227	PF01437;PF01403;PF23260;PF00090;	SSF103575;SSF101912;SSF82895;
Q9VTU3		RG68F_DROME	reviewed	Rho GTPase-activating protein 68F	RhoGAP68F CG6811	476	Drosophila melanogaster (Fruit fly)	7227	PF13716;PF00620;	SSF52087;SSF48350;
Q9VTY6		UBE2C_DROME	reviewed	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (Ubiquitin carrier protein C) (Ubiquitin carrier protein vihar) (Ubiquitin-protein ligase C)	vih Ubch10 CG10682	178	Drosophila melanogaster (Fruit fly)	7227	PF00179;	SSF54495;
Q9VTZ2		VERR_DROME	reviewed	Protein verrocchio	ver CG14121	214	Drosophila melanogaster (Fruit fly)	7227		
Q9VTZ5		TRFM_DROME	reviewed	Transferrin 2 (Melanotransferrin)	Tsf2 MTf CG10620	819	Drosophila melanogaster (Fruit fly)	7227	PF00405;	SSF53850;
Q9VU02		SMD1_DROME	reviewed	Probable small nuclear ribonucleoprotein Sm D1 (Sm-D1) (snRNP core protein D1)	SmD1 snRNP69D CG10753	124	Drosophila melanogaster (Fruit fly)	7227	PF01423;	SSF50182;
Q9VU08		VP13D_DROME	reviewed	Intermembrane lipid transfer protein Vps13D (Vacuolar protein sorting-associated protein 13D)	Vps13D CG32113	3919	Drosophila melanogaster (Fruit fly)	7227	PF25033;PF12624;PF25036;	
Q9VU41		ZMY10_DROME	reviewed	Zinc finger MYND domain-containing protein 10 homolog	Zmynd10 CG11253	451	Drosophila melanogaster (Fruit fly)	7227	PF01753;	SSF144232;
Q9VU68		WDR1_DROME	reviewed	Actin-interacting protein 1 (AIP1) (Protein flare)	flr CG10724	608	Drosophila melanogaster (Fruit fly)	7227	PF00400;	SSF50978;
Q9VU77		JMJD7_DROME	reviewed	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7 (EC 1.14.11.63) (EC 3.4.-.-) (Jumonji domain containing protein 7)	JMJD7 CG10133	316	Drosophila melanogaster (Fruit fly)	7227	PF13621;	SSF51197;
Q9VU84		DBNL_DROME	reviewed	Drebrin-like protein (Actin binding protein 1)	Abp1 CG10083	531	Drosophila melanogaster (Fruit fly)	7227	PF00241;PF14604;	SSF55753;SSF50044;
Q9VU87		VPS36_DROME	reviewed	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	Vps36 CG10711	399	Drosophila melanogaster (Fruit fly)	7227	PF04157;PF11605;	SSF50729;SSF46785;
Q9VUB4		NPRL3_DROME	reviewed	GATOR complex protein NPRL3 (Nitrogen permease regulator 3-like protein)	Nprl3 CG8783	610	Drosophila melanogaster (Fruit fly)	7227	PF24064;PF03666;	
Q9VUC6		FRL_DROME	reviewed	Formin-like protein (Formin related in leukocytes)	Frl CG32138	1183	Drosophila melanogaster (Fruit fly)	7227	PF06367;PF06371;PF02181;	SSF48371;SSF101447;
Q9VUF8		CP314_DROME	reviewed	Ecdysone 20-monooxygenase (E20MO) (EC 1.14.99.22) (CYPCCCXIVA1) (Cytochrome P450 314a1, mitochondrial) (Protein shade)	shd CYP314A1 CG13478	540	Drosophila melanogaster (Fruit fly)	7227	PF00067;	SSF48264;
Q9VUI3		EMAL_DROME	reviewed	Echinoderm microtubule-associated protein-like CG42247	DCX-EMAP CG42247	1076	Drosophila melanogaster (Fruit fly)	7227	PF23409;PF23414;PF03607;PF03451;	SSF89837;SSF50998;SSF50978;
Q9VUK8		GARS_DROME	reviewed	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase)	GlyRS aaRS(Gly) Aat-gly Aats-gly gars GRS team CG6778	765	Drosophila melanogaster (Fruit fly)	7227	PF03129;PF00587;PF00458;	SSF52954;SSF55681;SSF47060;
Q9VUL1		PYRG_DROME	reviewed	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	Ctps CTPsyn CG45070	627	Drosophila melanogaster (Fruit fly)	7227	PF06418;PF00117;	SSF52317;SSF52540;
Q9VUL9		FUCTA_DROME	reviewed	Glycoprotein 3-alpha-L-fucosyltransferase A (EC 2.4.1.214) (Core alpha-(1,3)-fucosyltransferase)	FucTA CG6869	503	Drosophila melanogaster (Fruit fly)	7227	PF17039;PF00852;	SSF53756;
Q9VUN0		TOLL6_DROME	reviewed	Toll-like receptor 6	Toll-6 Tl-6 CG7250	1514	Drosophila melanogaster (Fruit fly)	7227	PF13855;PF01582;	SSF52058;SSF52047;SSF52200;
Q9VUQ5		AGO2_DROME	reviewed	Protein argonaute-2	AGO2 CG7439	1214	Drosophila melanogaster (Fruit fly)	7227	PF08699;PF16488;PF16487;PF16486;PF02170;PF02171;	SSF101690;SSF53098;
Q9VUQ8		DCNL1_DROME	reviewed	DCN1-like protein 1 (DCNL1) (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Squamous cell carcinoma-related oncogene)	SCCRO Dcun1d1 CG7427	288	Drosophila melanogaster (Fruit fly)	7227	PF03556;PF14555;	SSF46934;
Q9VUT6		GALT8_DROME	reviewed	Polypeptide N-acetylgalactosaminyltransferase 8 (pp-GaNTase 8) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 8) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 8)	Pgant8 CG7297	590	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q9VUV9		U520_DROME	reviewed	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Protein lethal (3) 72Ab)	Brr2 l(3)72Ab CG5931	2142	Drosophila melanogaster (Fruit fly)	7227	PF21188;PF00270;PF00271;PF18149;PF02889;PF23445;	SSF81296;SSF52540;SSF158702;SSF46785;
Q9VUW9		HIP14_DROME	reviewed	Palmitoyltransferase Hip14 (EC 2.3.1.225) (Huntingtin-interacting protein 14 homolog)	Hip14 CG6017	637	Drosophila melanogaster (Fruit fly)	7227	PF00023;PF12796;PF13637;PF01529;	SSF48403;
Q9VUX2		MIB_DROME	reviewed	E3 ubiquitin-protein ligase mind-bomb (EC 2.3.2.27) (Mind bomb homolog) (D-mib) (Protein mind bob 1) (RING-type E3 ubiquitin transferase mind-bomb)	mib1 CG5841	1226	Drosophila melanogaster (Fruit fly)	7227	PF00023;PF12796;PF13857;PF06701;PF18346;PF13920;PF00569;	SSF48403;SSF159034;SSF57850;
Q9VUX3		NOTUM_DROME	reviewed	Palmitoleoyl-protein carboxylesterase NOTUM (EC 3.1.1.98) (Protein Notum) (Protein wingful) (dNOTUM)	Notum wf CG13076	671	Drosophila melanogaster (Fruit fly)	7227	PF03283;	
Q9VUY9		PGM_DROME	reviewed	Phosphoglucomutase 1 (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	Pgm1 CG5165	560	Drosophila melanogaster (Fruit fly)	7227	PF24947;PF02878;PF02879;PF02880;	SSF55957;SSF53738;
Q9VV43		TPPP_DROME	reviewed	Tubulin polymerization-promoting protein homolog (TPPP) (Protein ringmaker)	ringer CG45057	192	Drosophila melanogaster (Fruit fly)	7227	PF05517;	SSF47473;
Q9VV72		MINP1_DROME	reviewed	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80)	Mipp1 CG4123	467	Drosophila melanogaster (Fruit fly)	7227	PF00328;	SSF53254;
Q9VV73		NXF2_DROME	reviewed	Nuclear RNA export factor 2	nxf2 CG4118	841	Drosophila melanogaster (Fruit fly)	7227	PF24048;PF22602;PF03943;	SSF52058;SSF54427;SSF46934;
Q9VV74		SMN_DROME	reviewed	Survival motor neuron protein	Smn CG16725	226	Drosophila melanogaster (Fruit fly)	7227	PF20636;PF06003;PF20635;	SSF63748;
